Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Colorado Review,12,2012,Julia Anjard Maher,Female,Chinoiserie,Karen Rigby,Female,Ahsahta Press,http://coloradoreview.colostate.edu/reviews/chinoiserie/
Colorado Review,12,2012,Mark Scroggins,Male,This Constellation Is a Name: Collected Poems 1965-2010,Michael Heller,Male,Nightboat Books,http://coloradoreview.colostate.edu/reviews/this-constellation-is-a-name/
Colorado Review,12,2012,Kristina Marie Darling,Female,Punchline,Nick Courtright,Male,Gold Wake Press,http://coloradoreview.colostate.edu/reviews/punchline/
Colorado Review,12,2012,Kent Shaw,Male,The Fact of the Matter,Sally Keith,Female,Milkweed Editions,http://coloradoreview.colostate.edu/reviews/the-fact-of-the-matter/
Colorado Review,12,2012,Christopher Kondrich,Male,Road Scatter,Sandra Meek,Female,Persea Books,http://coloradoreview.colostate.edu/reviews/road-scatter/
Colorado Review,13,2013,Elizabeth Robinson,Female,A Dark Dreambox of Another Kind,Alfred Starr Hamilton,Male,The Song Cave,http://coloradoreview.colostate.edu/reviews/dark-dreambox/
Colorado Review,13,2013,Kristina Marie Darling,Female,Small Porcelain Head,Allison Benis White,Female,Four Way Books,http://coloradoreview.colostate.edu/reviews/small-porcelain-head/
Colorado Review,13,2013,Jacqueline Lyons,Female,Companion Grasses,Brian Teare,Male,Omnidawn Publishing,http://coloradoreview.colostate.edu/reviews/companion-grasses/
Colorado Review,13,2013,Andrew Nance,Male,To Anacreon in Heaven and Other Poems,Graham Foust,Male,Flood Editions,http://coloradoreview.colostate.edu/reviews/to-anacreon/
Colorado Review,13,2013,Rachel Abramowitz,Female,Imperial Nostalgias,Joshua Edwards,Male,Ugly Duckling Presse,http://coloradoreview.colostate.edu/reviews/4799/
Colorado Review,13,2013,Tim Wood,Male,The Final Take,Mario Susko,Male,Poetry Salzburg,http://coloradoreview.colostate.edu/reviews/the-final-take/
Colorado Review,13,2013,Julie Marie Wade,Female,Fibonacci Batman:  New and Selected Poems (1991-2011),Maureen Seaton,Female,Carnegie Mellon University Press,http://coloradoreview.colostate.edu/reviews/fibonacci-batman/
Colorado Review,13,2013,Kristin George Bagdanov,Female,Sunday Rising,Patricia Clark,Female,Michigan State University Press,http://coloradoreview.colostate.edu/reviews/sunday-rising/
Drunken Boat,12,05.21.2012,Andrew Najberg,Male,Stranger in Town,Cedar Sigo,Male,City Lights,http://drunkenboat.com/db15/stranger-in-town
Drunken Boat,12,05.21.2012,Geoffrey Babbitt,Male,New & Selected Poems,Charles O. Hartman,Male,Ahsahta Press,http://drunkenboat.com/db15/new-and-selected-poems
Drunken Boat,12,05.21.2012,Kathryn Nuernberger,Female,Coronology,Claire Bateman,Female,Etruscan Press,http://drunkenboat.com/db15/coronology
Drunken Boat,12,05.21.2012,Jenny Gropp Hess,Female,Circle's Apprentice,Dan Beachy-Quick,Male,Tupelo Press,http://drunkenboat.com/db15/circles-apprentice
Drunken Boat,12,05.21.2012,Anna Mockler,Female,Hoodwinked,David Hernandez,Male,"Sarabande Books, Inc.",http://drunkenboat.com/db15/hoodwinked
Drunken Boat,12,05.21.2012,Valerie Wetlaufer,Female,Discipline,Dawn Lundy Martin,Female,Nightboat Books,http://drunkenboat.com/db15/discipline
Drunken Boat,12,05.21.2012,Kris Bigalk,Female,Fall Higher,Dean Young,Male,Copper Canyon Press,http://drunkenboat.com/db15/fall-higher
Drunken Boat,12,05.21.2012,Brenda Sieczkowski,Female,Saint Erasure,Donne de la Perriere,Female,Talisman House,http://drunkenboat.com/db15/saint-erasure
Drunken Boat,12,05.21.2012,Megan Burns,Female,Blue Rain Morning,Jamey Jones,Male,"Farfalla, McMillian & Parrish",http://drunkenboat.com/db15/blue-rain-morning
Drunken Boat,12,05.21.2012,Sarah Pape,Female,Dreamlife of a Philanthropist,Janet Kaplan,Female,University of Notre Dame Press,http://drunkenboat.com/db15/dreamlife-of-a-philanthropist
Drunken Boat,12,05.21.2012,William Lazarus Wacker,Male,not merely because of the unknown that was stalking toward them,Jenny Boully,Female,Tarpaulin Sky Press,http://drunkenboat.com/db15/not-merely-because-of-the-unknown-that-was-stalking-toward-them
Drunken Boat,12,05.21.2012,Helena Sullivan,Female,Testify,Joseph Lease,Male,Coffee House Press,http://drunkenboat.com/db15/testify
Drunken Boat,12,05.21.2012,Andrew Najberg,Male,The Cold War,Kathleen Ossip,Female,"Sarabande Books, Inc.",http://drunkenboat.com/db15/the-cold-war
Drunken Boat,12,05.21.2012,Jennifer K Dick,Female,Dark Archive,Laura Mullen,Female,University of California Press,http://drunkenboat.com/db15/dark-archive
Drunken Boat,12,05.21.2012,Erin Lyndal Martin,Female,Flower Cart,Lisa Fishman,Female,Ahsahta Press,http://drunkenboat.com/db15/flower-cart
Drunken Boat,12,05.21.2012,Karin Gottshall,Female,Selected Poems,Mary Ruefle,Female,Wave Books,http://drunkenboat.com/db15/selected-poems
